COYOTEID,PAIRED,TISSUE,SECTION,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
CL1,NO,HAIR,ALL,1,urban,urban,2009-09-26,2009,9,MM,-20.26,-0.32,44.3453702,14.9,1,0,F,0
CL2,YES,HAIR,ALL,2,urban,matrix,2009-10-01,2009,10,MM,-21.09,1.21,44.6038953,15,1,0,F,1
CL2,YES,HAIR,ALL,3,urban,matrix,2011-05-25,2011,5,MM,-21.6,8.7,45.96238292,15.5,1,1,F,1
CL3,NO,HAIR,ALL,4,urban,matrix,2009-10-02,2009,10,MM,-22.13,2.02,44.35497579,15,1,0,M,1
CL5,YES,HAIR,ALL,5,urban,matrix,2009-10-09,2009,10,MM,-21.39,2.66,44.72437269,15.1,1,0,F,0
CL5,YES,HAIR,ALL,6,urban,matrix,2010-10-31,2010,10,MM,-22.1,8.1,46.7,15.4,1,0,F,1
CL6,NO,HAIR,ALL,7,urban,urban,2009-10-10,2009,10,MM,-19.35,1.6,44.53481851,15.1,1,0,NA,NA
CL7,NO,HAIR,ALL,8,urban,matrix,2009-10-22,2009,10,MM,-23.77,0.09,44.80887969,15,0,0,F,1
CL8,NO,HAIR,ALL,9,urban,urban,2009-10-23,2009,10,MM,-21.86,4.78,44.55516571,15,0,0,F,0
CL9,NO,HAIR,ALL,10,urban,matrix,2009-10-31,2009,10,MM,-20.56,4.83,44.65164572,14.9,0,0,M,0
CL10,NO,HAIR,ALL,11,urban,urban,2009-11-08,2009,11,MM,-19.49,6.62,44.81975965,14.9,0,0,F,0
CL11,NO,HAIR,ALL,12,urban,greenspace,2009-11-21,2009,11,MM,-20.61,6.97,44.12527322,14.7,0,0,F,1
CL12,YES,HAIR,ALL,13,urban,urban,2010-07-03,2010,7,MM,-18.58,7.89,44.42189047,14.9,0,1,F,0
CL12,YES,HAIR,BASE,14,urban,urban,2012-03-02,2012,3,MM,-23.8,8.7,45.7,15.3,0,1,F,1
CL12,YES,HAIR,TIP,15,urban,urban,2012-03-02,2012,3,MM,-23.6,8.4,44.5,14.9,0,0,F,1
CL13,NO,HAIR,ALL,16,urban,matrix,2010-11-01,2010,11,MM,-21.99,7.4,43.88872024,14.8,1,0,F,1
CL14,NO,HAIR,ALL,17,urban,matrix,2011-01-02,2011,1,MM,-20.49,7.3,44.54287943,14.8,0,0,F,0
CL15,NO,HAIR,ALL,18,urban,greenspace,2011-01-03,2011,1,MM,-22.18,8.74,43.95566522,14.9,0,0,F,1
CL16,NO,HAIR,ALL,19,urban,greenspace,2011-01-06,2011,1,MM,-21.84,6.69,44.12501149,14.9,1,0,F,1
CL17,NO,HAIR,ALL,20,urban,greenspace,2011-06-03,2011,6,MM,-21.8,7.5,44.67418992,15.3,0,1,F,1
CL18,NO,HAIR,ALL,21,urban,greenspace,2011-06-05,2011,6,MM,-22.4,8.4,46.07930766,15.7,0,1,M,1
