COYOTEID,TISSUE,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
CL1,HAIR,1,urban,urban,2009-09-26,2009,9,MM,-20.26,-0.32,44.3,14.9,1,0,F,0
CL2,HAIR,"2, 3",urban,matrix,2011-05-25,2011,5,MM,-21.345,4.955,45.3,15.25,1,1,F,1
CL3,HAIR,4,urban,matrix,2009-10-02,2009,10,MM,-22.13,2.02,44.4,15,1,0,M,1
CL5,HAIR,"5, 6",urban,matrix,2010-10-31,2010,10,MM,-21.745,5.38,45.7,15.25,1,0,F,0
CL6,HAIR,7,urban,urban,2009-10-10,2009,10,MM,-19.35,1.6,44.5,15.1,1,0,NA,NA
CL7,HAIR,8,urban,matrix,2009-10-22,2009,10,MM,-23.77,0.09,44.8,15,0,0,F,1
CL8,HAIR,9,urban,urban,2009-10-23,2009,10,MM,-21.86,4.78,44.6,15,0,0,F,0
CL9,HAIR,10,urban,matrix,2009-10-31,2009,10,MM,-20.56,4.83,44.7,14.9,0,0,M,0
CL10,HAIR,11,urban,urban,2009-11-08,2009,11,MM,-19.49,6.62,44.8,14.9,0,0,F,0
CL11,HAIR,12,urban,greenspace,2009-11-21,2009,11,MM,-20.61,6.97,44.1,14.7,0,0,F,1
CL12,HAIR,13,urban,urban,2010-07-03,2010,7,MM,-18.58,7.89,44.4,14.9,0,1,F,0
CL13,HAIR,16,urban,matrix,2010-11-01,2010,11,MM,-21.99,7.4,43.9,14.8,1,0,F,1
CL14,HAIR,17,urban,matrix,2011-01-02,2011,1,MM,-20.49,7.3,44.5,14.8,0,0,F,0
CL15,HAIR,18,urban,greenspace,2011-01-03,2011,1,MM,-22.18,8.74,44,14.9,0,0,F,1
CL16,HAIR,19,urban,greenspace,2011-01-06,2011,1,MM,-21.84,6.69,44.1,14.9,1,0,F,1
CL17,HAIR,20,urban,greenspace,2011-06-03,2011,6,MM,-21.8,7.5,44.7,15.3,0,1,F,1
CL18,HAIR,21,urban,greenspace,2011-06-05,2011,6,MM,-22.4,8.4,46.1,15.7,0,1,M,1
CL19,HAIR,26,urban,matrix,2011-06-06,2011,7,MM,-23,8.5,34.7,10.6,1,1,M,1
CL20,HAIR,27,urban,urban,2011-06-07,2011,6,MM,-23.2,7.6,45.1,15.1,0,1,M,1
CL21,HAIR,28,urban,greenspace,2011-10-23,2011,10,MM,-23.4,7.8,46.3,15.8,0,0,F,1
CL22,HAIR,"29, 30",urban,greenspace,2011-10-23,2011,10,MM,-23.5,8.3,46.2,15.3,0,0,F,0
CL23,HAIR,31,urban,greenspace,2011-10-27,2011,10,MM,-22.2,8.2,46.3,15.7,0,0,F,1
CL24,HAIR,32,urban,greenspace,2011-10-24,2011,10,MM,-23,7.7,45.8,15.5,0,0,M,1
CL26,HAIR,35,urban,matrix,2011-11-08,2011,11,MM,-22.3,7.2,46.2,15.4,1,0,F,1
CL27,HAIR,36,urban,greenspace,2012-03-05,2012,3,MM,-22.3,8.2,45.8,15.4,0,1,F,1
CL28,HAIR,39,urban,greenspace,2012-10-30,2012,10,MM,-22.7,10.2,45.8,15.5,0,0,F,0
CL29,HAIR,42,urban,matrix,2012-11-06,2012,11,MM,-23.6,6.8,45.6,15.1,0,0,F,0
KCL10,HAIR,43,urban,urban,NA,NA,NA,MM,-23.9,5.3,45.2,15.3,0,NA,NA,1
KCL11,HAIR,44,urban,urban,NA,NA,NA,MM,-23.8,4.7,46.1,15.7,0,NA,NA,1
KCL12,HAIR,45,urban,urban,NA,NA,NA,MM,-21.8,7.4,46.1,15.7,0,NA,NA,0
KCL14,HAIR,46,urban,urban,NA,NA,NA,MM,-23.7,7.6,46.6,14.5,0,NA,M,1
KCL15,HAIR,47,urban,urban,NA,NA,NA,MM,-22.6,8,46.4,15,1,NA,M,0
KCL16,HAIR,48,urban,urban,NA,NA,NA,MM,-23,7.6,46.1,15.6,1,NA,M,1
KCL17,HAIR,49,urban,urban,NA,NA,NA,MM,-23.9,6.5,46.1,15.2,0,NA,M,0
